Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0461,2.5216,1.42137,2.51614
0.0462,2.52195,1.05547,2.52066
0.0463,2.52371,1.20183,2.52441
0.0464,2.52546,1.12865,2.52824
0.0465,2.52722,1.49455,2.53251
0.0466,2.5281,1.34819,2.53736
0.0467,2.52968,2.07999,2.54089
0.0468,2.53108,1.27501,2.54436
0.0469,2.53196,1.49455,2.54884
0.047,2.53003,1.12865,2.55426
0.0471,2.52985,1.27501,2.559
0.0472,2.53003,1.05547,2.56433
0.0473,2.52985,1.56773,2.56997
0.0474,2.53073,1.42137,2.57466
0.0475,2.53161,1.49455,2.57797
0.0476,2.53144,1.56773,2.58213
0.0477,2.52915,1.42137,2.58736
0.0478,2.52722,1.78727,2.59205
0.0479,2.52792,1.42137,2.59595
0.048,2.53003,1.20183,2.59964
0.0481,2.53126,1.56773,2.60323
0.0482,2.53214,1.42137,2.60659
0.0483,2.53196,2.00681,2.61076
0.0484,2.53284,1.56773,2.61504
0.0485,2.53319,1.64091,2.61942
0.0486,2.53267,1.64091,2.62349
0.0487,2.53179,1.34819,2.62788
0.0488,2.53073,1.56773,2.63282
0.0489,2.53056,1.64091,2.63708
0.049,2.53179,1.56773,2.64083
0.0491,2.53284,1.49455,2.64524
0.0492,2.53161,0.909108,2.65035
0.0493,2.53073,1.49455,2.65557
0.0494,2.53161,1.27501,2.66079
0.0495,2.53144,1.64091,2.6662
0.0496,2.52933,1.56773,2.67215
0.0497,2.52722,1.64091,2.67726
0.0498,2.52617,1.27501,2.68233
0.0499,2.52546,1.78727,2.68756
0.05,2.52441,1.34819,2.69274
0.0501,2.52511,1.49455,2.69775
0.0502,2.52687,1.34819,2.7028
0.0503,2.52933,1.93363,2.70765
0.0504,2.52933,1.71409,2.71281
0.0505,2.52827,1.49455,2.71747
0.0506,2.52722,1.49455,2.72288
0.0507,2.52704,0.982288,2.72813
0.0508,2.52827,1.64091,2.73283
0.0509,2.5295,1.12865,2.7375
0.051,2.53073,1.49455,2.74226
0.0511,2.53073,1.86045,2.7473
0.0512,2.53073,1.34819,2.7519
0.0513,2.53003,1.56773,2.75713
0.0514,2.53003,1.27501,2.76227
0.0515,2.5295,1.49455,2.7676
0.0516,2.52933,1.86045,2.77337
0.0517,2.52845,1.20183,2.77976
0.0518,2.52704,1.78727,2.78629
0.0519,2.52827,1.56773,2.79089
0.052,2.5281,1.56773,2.7957
0.0521,2.5295,1.64091,2.80086
0.0522,2.52933,1.20183,2.80659
0.0523,2.52915,1.78727,2.81231
0.0524,2.52845,1.56773,2.81825
0.0525,2.52757,1.78727,2.82429
0.0526,2.52687,1.78727,2.8295
0.0527,2.5281,1.42137,2.83357
0.0528,2.5281,2.00681,2.8389
0.0529,2.52915,1.71409,2.84404
0.053,2.5295,1.42137,2.84907
0.0531,2.52863,1.64091,2.85434
0.0532,2.52775,1.64091,2.85949
0.0533,2.52669,1.78727,2.86482
0.0534,2.52546,1.78727,2.86982
0.0535,2.52546,1.93363,2.87492
0.0536,2.52599,1.86045,2.88014
0.0537,2.52775,1.93363,2.88466
0.0538,2.52898,1.78727,2.88925
0.0539,2.53021,1.78727,2.89403
0.054,2.53126,1.78727,2.89893
0.0541,2.53073,1.78727,2.90389
0.0542,2.52968,1.27501,2.90922
0.0543,2.52827,1.78727,2.9154
0.0544,2.52757,1.56773,2.92113
0.0545,2.52845,1.78727,2.92642
0.0546,2.52933,1.86045,2.93202
0.0547,2.53108,0.982288,2.93744
0.0548,2.52968,1.49455,2.94355
0.0549,2.53003,1.64091,2.94769
0.055,2.52985,1.71409,2.95277
0.0551,2.52968,1.78727,2.95829
0.0552,2.5295,0.762748,2.96367
0.0553,2.52933,1.78727,2.96946
0.0554,2.52898,2.37271,2.97555
0.0555,2.52845,1.56773,2.98167
0.0556,2.52775,1.78727,2.98694
0.0557,2.52704,1.05547,2.99214
0.0558,2.52669,1.86045,2.99816
0.0559,2.52599,1.34819,3.00424
0.056,2.52564,1.93363,3.00993
0.0561,2.52529,2.07999,3.01566
0.0562,2.52388,1.20183,3.02191
0.0563,2.52248,1.78727,3.02799
0.0564,2.52054,1.71409,3.03382
0.0565,2.51914,2.07999,3.03988
0.0566,2.51773,2.00681,3.04624
